strategy,cap,bank_min,boot,mean,sd,p05,p50,p95,p_neg
S1,50,1000,iid,257.14938279999996,551.929364636488,-545.0074999999999,202.29999999999995,1249.26275,0.33663333333333334
S1,50,1000,block7,252.90317726666663,668.6990508848025,-793.02,121.97000000000003,1450.2299999999998,0.34726666666666667
S1,100,2000,iid,371.03187233333335,982.9579283120879,-1095.7325,293.29950000000014,2121.738449999999,0.3667666666666667
S1,100,2000,block7,363.5596765666666,1166.2839793824621,-1620.30895,201.85200000000003,2388.7818499999985,0.3646
S1,200,4000,iid,605.0499094333334,1639.9880854797645,-1899.7830499999998,493.05299999999994,3482.170649999999,0.3635
S1,200,4000,block7,589.3068122333333,1880.1001334986174,-2709.022,351.87049999999994,3791.410349999999,0.3421
S1,300,6000,iid,853.013656,2204.5807400664353,-2568.45065,722.9932500000001,4698.939099999999,0.34923333333333334
S1,300,6000,block7,829.6916673666666,2415.273168548855,-3480.4970000000008,565.91875,4829.480449999998,0.30443333333333333
S1,500,10000,iid,779.1449795666665,2968.0059073672846,-4048.8356500000004,721.2742499999997,5791.405049999999,0.3874666666666667
S1,500,10000,block7,750.0752787999998,2993.9949748314143,-4584.8011750000005,764.7179999999998,5401.481499999999,0.3286
S1,1000,20000,iid,122.7828559666664,4327.542068178001,-7259.55655,247.14350000000007,7097.065,0.47023333333333334
S1,1000,20000,block7,83.32031196666641,4124.827657118284,-7744.767975000001,387.2579999999998,5901.8872249999995,0.39586666666666664
S1,2000,40000,iid,-313.8047069000004,5458.155035745428,-9682.122475,-87.45225000000016,8399.956,0.5066333333333334
S1,2000,40000,block7,-377.61768533333367,5159.957887688808,-10113.14315,15.979999999999109,6975.5515,0.44033333333333335
S1,5000,100000,iid,-304.01632173333394,8018.98346403117,-13598.71685,-217.40300000000002,12824.739049999996,0.5125
S1,5000,100000,block7,-417.0297453500005,7148.017409399103,-13212.40935,0.0,10949.241074999996,0.48993333333333333
S2,50,1000,iid,186.5135642333333,449.81554795276327,-486.61,140.45999999999998,985.7334999999998,0.35473333333333334
S2,50,1000,block7,185.3651973,531.1116054644312,-649.3,112.30000000000003,1118.8299999999995,0.34063333333333334
S2,100,2000,iid,248.59410353333328,792.352352850885,-959.49,182.25199999999992,1641.6679999999997,0.3902333333333333
S2,100,2000,block7,247.42015713333333,897.3174449897848,-1234.396,152.48200000000003,1778.0789999999997,0.3557
S2,200,4000,iid,385.82578276666663,1231.7836505185612,-1523.60895,306.9000000000001,2530.3521999999994,0.38166666666666665
S2,200,4000,block7,382.1068948333333,1356.6031533626858,-2003.822,296.937,2637.165,0.3345666666666667
S2,300,6000,iid,515.4814892666667,1568.7943477733857,-1998.3082,467.4199999999999,3190.56985,0.3636666666666667
S2,300,6000,block7,508.67823339999995,1688.7031771171253,-2503.5191,505.05999999999995,3239.2234999999996,0.3185
S2,500,10000,iid,354.0287845666667,2192.9001810370382,-3340.9505999999988,401.05100000000004,3876.4557,0.4117
S2,500,10000,block7,345.4848907333334,2220.9757301718096,-3647.197,399.09900000000016,3721.495,0.36296666666666666
S2,1000,20000,iid,-85.6334237333335,3498.3315045272466,-6286.5241,159.03199999999995,5168.278649999998,0.4686666666666667
S2,1000,20000,block7,-98.94469870000016,3344.2448819542365,-6343.716,0.0,4793.352749999998,0.4471333333333333
S2,2000,40000,iid,-2.096028100000248,4433.864356791698,-7818.91805,266.8729999999998,6731.1350999999995,0.45886666666666664
S2,2000,40000,block7,-30.486688333333593,4248.94413585613,-7776.4130000000005,0.0,6515.711149999997,0.44693333333333335
S2,5000,100000,iid,530.602791733333,6230.388242773285,-10052.243900000001,638.9399999999997,10467.992549999995,0.43966666666666665
S2,5000,100000,block7,468.3520076499997,5730.567641150136,-8711.9229,0.0,9960.708499999999,0.4573
