month,bets,stake,profit,roi_turn,roi_bank,strategy
2025-08,33,8343.0,467.3190000000002,0.05601330456670265,0.07788650000000003,S1_cap300
2025-09,64,14422.0,-347.19900000000007,-0.02407426154486202,-0.05786650000000001,S1_cap300
2025-10,467,94984.0,2494.748,0.02626492883011876,0.41579133333333335,S1_cap300
2025-11,426,98306.0,-983.8420000000006,-0.010007954753524714,-0.16397366666666677,S1_cap300
2025-12,234,44805.0,6545.914,0.1460978462225198,1.0909856666666666,S1_cap300
2025-08,25,5059.0,-237.48599999999996,-0.04694326942083415,-0.03958099999999999,Custom
2025-09,46,7467.0,251.9740000000001,0.0337450113834204,0.04199566666666668,Custom
2025-10,349,46545.0,-176.91299999999984,-0.0038009023525620335,-0.029485499999999974,Custom
2025-11,317,49316.0,-1919.8339999999998,-0.038929231892286476,-0.3199723333333333,Custom
2025-12,177,24540.0,3242.008,0.13211116544417278,0.5403346666666666,Custom
