score_cut,cap_hi,mean_profit,sd_profit,p05_profit,p50_profit,p95_profit,p_neg,mean_stake,mean_roi_turn,feasible
0.6,350,2966.6769598999995,4218.249733316624,-4397.67095,3283.5154999999995,9370.415749999998,0.2334,87185.51725,0.03584941226095236,True
0.6,400,3038.2228449,4197.411445568101,-4242.9953749999995,3341.654,9415.268274999999,0.2289,88261.347,0.03611890416829324,True
0.6,500,3117.9354625999995,4186.385004385438,-4122.085225,3416.22925,9559.78465,0.2232,90153.7158,0.03607631641840079,True
0.6,700,3101.7146188999996,4279.84226822005,-4322.01835,3361.9844999999996,9756.950399999998,0.231,93026.95675,0.03457887757411014,True
0.7,350,2882.6168958999997,4216.9258963139155,-4488.939925000001,3209.3125,9281.41895,0.2395,86833.6918,0.03508426271434625,True
0.7,400,2873.5637558999997,4184.972948868744,-4423.763900000001,3202.0924999999993,9225.851825,0.2384,87606.59305,0.03461540023850528,True
0.7,500,2901.3984609,4160.558359944508,-4352.676850000001,3232.8409999999994,9235.768925,0.23415,88990.06725,0.03426171830793266,True
0.7,700,2933.8021481999995,4226.212709742597,-4405.0414500000015,3253.9114999999997,9464.93105,0.237,91138.70765,0.03362469950303604,True
0.8,350,2893.9135959,4240.699041449203,-4521.397,3220.015,9326.223799999998,0.23925,86743.9468,0.03526312652010873,True
0.8,400,2896.1571558999995,4231.109082338594,-4521.370900000001,3240.608,9290.493574999997,0.2396,87427.10305,0.034970534575214755,True
0.8,500,2946.5852609,4244.442823296537,-4447.001850000001,3304.089249999999,9388.398749999998,0.2344,88631.08725,0.03496627676047977,True
0.8,700,2987.9507481999995,4368.573957488045,-4616.902100000001,3343.2819999999992,9635.540625,0.2382,90456.97265,0.03458997012692405,True
0.85,350,2893.9135959,4240.699041449203,-4521.397,3220.015,9326.223799999998,0.23925,86743.9468,0.03526312652010873,True
0.85,400,2896.1571558999995,4231.109082338594,-4521.370900000001,3240.608,9290.493574999997,0.2396,87427.10305,0.034970534575214755,True
0.85,500,2946.5852609,4244.442823296537,-4447.001850000001,3304.089249999999,9388.398749999998,0.2344,88631.08725,0.03496627676047977,True
0.85,700,2987.9507481999995,4368.573957488045,-4616.902100000001,3343.2819999999992,9635.540625,0.2382,90456.97265,0.03458997012692405,True
0.9,350,2905.7500069,4235.52687737487,-4506.522325,3214.87075,9344.808325,0.239,86414.1421,0.03552922773939277,True
0.9,400,2907.3051794,4235.465606476348,-4495.1618499999995,3212.8007499999994,9341.223399999999,0.23825,86826.82055,0.03533510507310332,True
0.9,500,2975.8874843999997,4263.084691869396,-4462.2898749999995,3295.63375,9437.186299999996,0.2333,87560.72475,0.0357040583545538,True
0.9,700,3131.3674984,4354.689850372994,-4443.3177000000005,3490.5737499999996,9743.334049999998,0.22885,88709.11015,0.036765502515074946,True
0.95,350,2867.0069734,4206.494246338338,-4493.1833750000005,3186.53325,9280.325099999998,0.24125,86059.9929,0.035266343089880865,True
0.95,400,2828.9353984,4176.690787782376,-4476.683625,3154.0825000000004,9194.928999999998,0.2436,86130.5404,0.03479544993940098,True
0.95,500,2775.0055083999996,4140.667821980659,-4468.060149999999,3090.3904999999995,9090.535924999996,0.24525,86223.4414,0.03411891942679761,True
0.95,700,2632.2655083999994,4106.1022685444,-4544.318300000001,2958.5279999999993,8892.134699999999,0.2532,86366.1814,0.03237537283739247,True
