date,bets,stake_total
2025-04-09,9,3238.0
2025-08-18,2,800.0
2025-08-20,4,1293.0
2025-08-30,6,1265.0
2025-09-06,4,834.0
2025-09-20,15,4063.0
2025-09-27,10,2397.0
2025-09-30,6,922.0
2025-10-04,30,6348.0
2025-10-07,1,174.0
2025-10-08,12,4873.0
2025-10-11,29,5569.0
2025-10-13,7,1210.0
2025-10-14,13,1370.0
2025-10-15,17,3880.0
2025-10-18,50,11271.0
2025-10-20,10,2357.0
2025-10-21,5,636.0
2025-10-22,6,2197.0
2025-10-25,59,12831.0
2025-10-27,7,1592.0
2025-10-28,27,3651.0
2025-10-29,11,2800.0
2025-11-01,51,11489.0
2025-11-04,12,1961.0
2025-11-05,16,6313.0
2025-11-08,37,9907.0
2025-11-11,17,2650.0
2025-11-12,14,6976.0
2025-11-15,27,6339.0
2025-11-17,5,1231.0
2025-11-18,19,3118.0
2025-11-19,9,1745.0
2025-11-22,34,7370.0
2025-11-24,10,2846.0
2025-11-25,28,3353.0
2025-11-26,20,5789.0
2025-11-29,38,10546.0
2025-12-01,4,882.0
2025-12-02,24,3456.0
2025-12-03,26,6043.0
2025-12-06,25,9371.0
2025-12-08,6,1002.0
2025-12-09,14,1423.0
2025-12-10,11,2269.0
2025-12-13,25,4320.0
2025-12-15,3,584.0
2025-12-16,14,2073.0
2025-12-17,17,3049.0
2025-12-23,7,1049.0
2025-12-24,2,934.0
