date,pnl
2025-11-01,-3130.946000000001
2025-11-02,0.0
2025-11-03,0.0
2025-11-04,-437.42500000000007
2025-11-05,-1453.974
2025-11-06,0.0
2025-11-07,-4475.38
2025-11-08,-4035.143
2025-11-09,0.0
2025-11-10,-294.0
2025-11-11,-5848.102
2025-11-12,1778.0600000000004
2025-11-13,0.0
2025-11-14,580.4919999999997
2025-11-15,-4215.026
2025-11-16,0.0
2025-11-17,1807.34
2025-11-18,339.90300000000036
2025-11-19,1228.83
2025-11-20,0.0
2025-11-21,-5175.767
2025-11-22,1378.007
2025-11-23,0.0
2025-11-24,3701.7999999999993
2025-11-25,8285.83
2025-11-26,-2499.334
2025-11-27,0.0
2025-11-28,-9651.993
2025-11-29,10583.27
2025-11-30,0.0
