thr,Tipo,DOW,oos_meanROI,stake_nov,profit_exp_nov,bets_nov,oos_p,oos_n
0.2,FT,Sex,0.1044806629834254,95855.0,10014.99395027624,205,0.0637297336611191,181
0.5,FT,Sáb,0.1273561643835616,67983.0,8658.054123287668,79,0.1190925470039208,73
0.2,FT,Ter,0.1951475409836065,42913.0,8374.366426229506,86,0.0086627833927676,122
0.25,FT,Ter,0.1922051282051282,40533.0,7790.650461538461,83,0.011235192172163,117
0.35,FT,Ter,0.1858571428571429,36069.0,6703.681285714287,73,0.0232074749638214,98
0.25,FH,Sáb,0.146912429378531,45109.0,6627.072776836155,237,0.009843556114328,177
0.3,FT,Ter,0.1713925233644859,38515.0,6601.183037383174,77,0.0259051235429839,107
0.45,FT,Ter,0.1939047619047619,30894.0,5990.493714285714,61,0.026082082266875,84
0.4,FT,Ter,0.1823260869565217,32795.0,5979.384021739129,67,0.0285120442724227,92
0.55,FT,Sáb,0.1122727272727272,50735.0,5696.156818181815,58,0.188203479884662,55
0.3,FH,Sáb,0.1236360759493671,42945.0,5309.55128164557,221,0.0357898049809322,158
0.5,FT,Ter,0.1711139240506329,29724.0,5086.190278481012,57,0.0480866063717484,79
0.2,FH,Sáb,0.0904566115702479,51672.0,4674.074033057849,298,0.0438043341056286,242
0.55,FT,Ter,0.1663243243243243,26886.0,4471.795783783784,51,0.0597056554401923,74
0.5,FT,Seg,0.4590416666666666,9592.0,4403.127666666666,12,0.0179058008563149,24
0.65,FT,Ter,0.1733593749999999,25073.0,4346.639609374997,40,0.0646104991638417,64
0.85,FT,Ter,0.1859268292682926,23248.0,4322.426926829266,27,0.0930180395458341,41
0.35,FH,Sáb,0.1142359999999999,37835.0,4322.119059999996,181,0.0668858876845047,125
0.3,FT,Seg,0.4114999999999999,10482.0,4313.342999999999,15,0.0175388669283834,28
0.8,FT,Ter,0.1821666666666666,23499.0,4280.734499999998,30,0.0777851533913329,48
0.35,FT,Seg,0.4091481481481481,10194.0,4170.856222222222,14,0.0215688413674565,27
0.4,FT,Seg,0.4091481481481481,10194.0,4170.856222222222,14,0.0215688413674565,27
0.2,FT,Seg,0.3217021276595745,12622.0,4060.5242553191497,26,0.0117240428319558,47
0.25,FT,Seg,0.3217021276595745,12622.0,4060.5242553191497,26,0.0117240428319558,47
0.4,FH,Sáb,0.1185327102803738,34013.0,4031.6530747663537,159,0.0756417848610072,107
0.9,FT,Ter,0.1765,22687.0,4004.2554999999998,25,0.1121077601001388,38
0.45,FT,Seg,0.40068,9592.0,3843.3225599999996,12,0.0317322976986665,25
0.6,FT,Ter,0.1444202898550724,25729.0,3715.789637681158,45,0.0950803478908954,69
0.7,FT,Ter,0.09925,24973.0,2478.57025,38,0.1934620699395625,60
0.7,FT,Qua,0.1297613636363636,18299.0,2374.5031931818176,36,0.1943976473248834,44
0.3,FH,Ter,0.2437076923076923,8329.0,2029.841369230769,44,0.0075706297330617,65
0.2,FH,Ter,0.2236056338028168,8721.0,1950.0647323943654,47,0.0117406901369508,71
0.25,FH,Ter,0.2238382352941176,8614.0,1928.1425588235288,46,0.0129796635456773,68
0.4,FH,Ter,0.2726603773584905,6967.0,1899.6248490566036,36,0.0059571052230234,53
0.45,FH,Ter,0.3274130434782609,5783.0,1893.4296304347827,30,0.0019888243333471,46
0.35,FH,Ter,0.2352711864406779,7520.0,1769.239322033898,40,0.0117138647190003,59
0.5,FH,Ter,0.3059545454545454,5663.0,1732.6205909090907,29,0.0044080410446151,44
0.7,FH,Ter,0.362076923076923,4729.0,1712.261769230769,21,0.0113207966630865,26
0.65,FH,Ter,0.3320666666666667,4808.0,1596.5765333333334,22,0.0092887524603344,30
0.6,FH,Ter,0.3027878787878788,5236.0,1585.3973333333333,26,0.0130056519594176,33
0.55,FH,Ter,0.2917222222222222,5343.0,1558.6718333333333,27,0.0115592362255051,36
0.75,FH,Ter,0.3019090909090909,4185.0,1263.4895454545454,18,0.0445025182426106,22
0.8,FH,Ter,0.1846,4135.0,763.3209999999999,17,0.1342115247635376,20
