cap,bank_min,rules_count,bets_nov,stake_nov,profit_exp_nov,roi_turn_exp_nov
5000,100000,43,2756,1023315.0,176559.5749935917,0.17253687769024367
3000,60000,43,2756,971119.0,165736.80349638622,0.1706658025395304
2000,40000,43,2756,907966.0,154301.0501972479,0.1699414407557639
1500,30000,43,2756,860511.0,146163.25411938716,0.16985634596116395
1000,20000,43,2756,786609.0,133562.24967553222,0.16979496760847157
700,14000,43,2756,725723.0,122748.76103102142,0.1691399625353219
500,10000,43,2756,656850.0,110568.28082984895,0.16833109664283924
400,8000,43,2756,597358.0,100038.60281719528,0.16746842398895684
300,6000,43,2756,522790.0,87125.40021520067,0.1666546801109445
250,5000,43,2756,472142.0,78347.7857556412,0.16594114854353395
200,4000,43,2756,412525.0,68073.62629238788,0.1650169718014372
150,3000,43,2756,342195.0,56341.24731753094,0.1646466117784624
100,2000,43,2756,251169.0,41364.84744854515,0.16468930261515216
50,1000,43,2756,136097.0,22555.912079633068,0.1657340873026817
