thr,DOW,FH_n,FH_mean,FT_n,FT_mean,FH_minus_FT
0.2,Sáb,227,0.15400440528634363,319,0.01093730407523511,0.14306710121110852
0.2,Dom,72,-0.012993055555555534,164,-0.11504268292682925,0.10204962737127371
0.2,Qua,43,0.06248837209302327,143,-0.034517482517482496,0.09700585461050576
0.2,Ter,78,0.2823205128205128,223,0.2824372197309417,-0.0001167069104289209
0.2,Sex,106,-0.006542452830188675,189,0.10381481481481483,-0.1103572676450035
0.2,Seg,41,0.016731707317073193,48,0.29416666666666663,-0.27743495934959345
0.3,Sáb,146,0.1784931506849315,227,-0.023211453744493384,0.20170460442942487
0.3,Dom,37,0.01735135135135134,71,-0.18080281690140845,0.1981541682527598
0.3,Ter,72,0.30536111111111114,207,0.28026328502415465,0.025097826086956487
0.3,Qua,38,0.010921052631578955,129,0.007899224806201545,0.00302182782537741
0.3,Sex,80,0.0029125000000000067,125,0.014184000000000033,-0.011271500000000026
0.4,Sáb,101,0.16684158415841588,124,0.06059274193548386,0.10624884222293202
0.4,Ter,60,0.3432666666666667,191,0.300782722513089,0.0424839441535777
0.4,Sex,28,-0.08907142857142857,56,-0.0570982142857143,-0.031973214285714265
0.4,Qua,31,-0.05951612903225806,110,0.04081818181818179,-0.10033431085043984
0.5,Ter,51,0.38445098039215686,166,0.3318885542168675,0.052562426175289334
0.5,Sáb,38,0.05905263157894738,74,0.15816216216216217,-0.09910953058321478
0.6,Ter,38,0.3891315789473684,155,0.3325193548387097,0.05661222410865868
0.6,Sáb,25,0.03564,49,0.10728571428571428,-0.07164571428571428
0.7,Ter,29,0.41893103448275865,134,0.22545149253731336,0.19347954194544528
0.8,Ter,22,0.2696363636363636,98,0.2876173469387755,-0.01798098330241188
