fold,rule,test_n,test_meanROI,combos
1,score>=q0.75,104,0.0705048076923077,
1,score>=q0.75 + combos_lcb70,20,0.3501,3.0
1,score>=q0.8,79,0.10540506329113924,
1,score>=q0.8 + combos_lcb70,16,0.25856250000000003,4.0
1,score>=q0.85,60,0.17384999999999995,
1,score>=q0.85 + combos_lcb70,31,0.17180645161290325,3.0
1,score>=q0.9,46,0.14969565217391304,
1,score>=q0.9 + combos_lcb70,29,0.1665862068965517,2.0
2,score>=q0.75,150,-0.09521333333333336,
2,score>=q0.75 + combos_lcb70,47,-0.10277659574468084,4.0
2,score>=q0.8,133,-0.07304511278195491,
2,score>=q0.8 + combos_lcb70,72,-0.0551527777777778,3.0
2,score>=q0.85,107,-0.009350467289719649,
2,score>=q0.85 + combos_lcb70,65,-0.05023846153846156,2.0
2,score>=q0.9,85,0.03572352941176471,
2,score>=q0.9 + combos_lcb70,65,-0.05023846153846156,2.0
3,score>=q0.75,148,-0.0021520270270270255,
3,score>=q0.75 + combos_lcb70,66,-0.08599242424242423,3.0
3,score>=q0.8,133,-0.015996240601503755,
3,score>=q0.8 + combos_lcb70,92,-0.1044836956521739,2.0
3,score>=q0.85,104,0.003995192307692314,
3,score>=q0.85 + combos_lcb70,83,-0.043620481927710855,3.0
3,score>=q0.9,78,0.009282051282051272,
3,score>=q0.9 + combos_lcb70,60,-0.018683333333333333,2.0
4,score>=q0.75,112,0.05445982142857142,
4,score>=q0.75 + combos_lcb70,42,-0.07855952380952379,3.0
4,score>=q0.8,94,0.08621808510638297,
4,score>=q0.8 + combos_lcb70,62,0.09068548387096774,4.0
4,score>=q0.85,61,0.025811475409836058,
4,score>=q0.85 + combos_lcb70,39,-0.01732051282051281,3.0
4,score>=q0.9,44,0.019079545454545443,
4,score>=q0.9 + combos_lcb70,28,-0.08355357142857144,4.0
5,score>=q0.75,109,0.12044495412844036,
5,score>=q0.75 + combos_lcb70,89,0.14157865168539321,5.0
5,score>=q0.8,94,0.08360106382978724,
5,score>=q0.8 + combos_lcb70,81,0.12358641975308643,5.0
5,score>=q0.85,79,0.13843670886075948,
5,score>=q0.85 + combos_lcb70,38,-0.2816842105263158,3.0
5,score>=q0.9,55,0.2453545454545455,
5,score>=q0.9 + combos_lcb70,10,-0.44420000000000004,2.0
