policy,bank,haircut_pnl,sharpe_ann_mean,sharpe_ann_p05,sharpe_ann_p50,sharpe_ann_p95,sharpe_ann_p_lt_1,sharpe_ann_p_lt_0
baseline_cap300,6000,0.0,2.6237214216647966,0.6614309996167979,2.4509191607082452,5.140782835473627,0.09815,0.0112
baseline_cap300,6000,0.1,2.6237214216647966,0.661430999616798,2.4509191607082452,5.140782835473627,0.09815,0.0112
baseline_cap300,6000,0.2,2.6237214216647966,0.6614309996167979,2.4509191607082457,5.140782835473627,0.09815,0.0112
segment_FT_Sab_cap400,8000,0.0,2.82691927303027,0.8324884523990509,2.647978281324418,5.420308403223177,0.07055,0.00655
segment_FT_Sab_cap400,8000,0.1,2.82691927303027,0.8324884523990512,2.647978281324418,5.420308403223177,0.07055,0.00655
segment_FT_Sab_cap400,8000,0.2,2.8269192730302697,0.8324884523990507,2.647978281324418,5.420308403223177,0.07055,0.00655
dynamic_FT_Sab_cap700_if_score>=0.90,14000,0.0,2.757570744478114,0.7681859310444482,2.584972038487976,5.311289540227834,0.0798,0.00795
dynamic_FT_Sab_cap700_if_score>=0.90,14000,0.1,2.757570744478114,0.7681859310444481,2.584972038487976,5.311289540227835,0.0798,0.00795
dynamic_FT_Sab_cap700_if_score>=0.90,14000,0.2,2.757570744478114,0.7681859310444481,2.584972038487975,5.311289540227834,0.0798,0.00795
