policy,bank,slip_rate,sharpe_ann_mean,sharpe_ann_p05,sharpe_ann_p50,sharpe_ann_p95,sharpe_ann_p_lt_1,sharpe_ann_p_lt_0
baseline_cap300,6000,0.0,2.6267784183225826,0.6398267340713442,2.4527145894087123,5.229304475811664,0.0996,0.01025
baseline_cap300,6000,0.005,2.2468179123921765,0.32569825626698906,2.0915763834011365,4.727169560142133,0.16685,0.02365
baseline_cap300,6000,0.01,1.866307912642628,0.0003128339184365071,1.7237481362762153,4.230172864464298,0.2578,0.05
baseline_cap300,6000,0.02,1.1052030929699401,-0.6763151569508399,0.9983669596807752,3.2583608234595616,0.5004,0.16855
segment_FT_Sab_cap400,8000,0.0,2.8293513118655085,0.81391215013872,2.650361121850386,5.474098931378897,0.0727,0.0062
segment_FT_Sab_cap400,8000,0.005,2.439037011555528,0.48827698473856423,2.2786658279548386,4.962396157700178,0.13005,0.01585
segment_FT_Sab_cap400,8000,0.01,2.0480653204339716,0.15249696770521937,1.9038020297776352,4.46265396623234,0.2118,0.0359
segment_FT_Sab_cap400,8000,0.02,1.265856091235855,-0.5387276870506644,1.1502959673985056,3.4631328684990605,0.4454,0.1335
dynamic_FT_Sab_cap700_if_score>=0.90,14000,0.0,2.7599795461237004,0.751881875718742,2.5854524186358754,5.369480914117101,0.08085,0.00735
dynamic_FT_Sab_cap700_if_score>=0.90,14000,0.005,2.377766055791446,0.4338554137091578,2.218728766547805,4.868259440299627,0.13895,0.01815
dynamic_FT_Sab_cap700_if_score>=0.90,14000,0.01,1.994950588341894,0.10435549314435869,1.8523036108266884,4.383380595546235,0.22435,0.0403
dynamic_FT_Sab_cap700_if_score>=0.90,14000,0.02,1.2290848307675237,-0.5766924421909786,1.1164898796261036,3.4202157533602415,0.4583,0.14065
